Nombre_pagina,URL_post,Recuento_compartidos,Reacciones_totales,Recuento_comentarios,Contenido,Fecha_hora_publicacion,Fecha,Hora,Estado
MaraLezamaOficial,https://www.facebook.com/MaraLezamaOficial/posts/pfbid02CxvNSNR5qoYgu6pihyGXKGMjTv95eM4Wny6TEJuPR36kFupMtRiVbcBmaPEy9D8ql?__cft__[0]=AZUnHQFijHPA814XHTNxBPjFMDHAjE1Oj6QuJwKtZng_GCHc0j3TNx4GmNscaThuqbKjHe4QeTIl-aiUxCimbGAk0bcBJYzHMHQvGCNTlntQsIxhJS4Cd_h65YeM03K8ryniNH7LXKmUPstuVTV71zyMwkzvFkB2qDE6WLPPZEaIHneHY54HurX-pgZO7AP8lt8Z9_wBsFHhw53tajNr7hKS&__tn__=%2CO%2CP-R,42,372,62,"Tras recibir un estado practicamente paralizado con una deuda monumental y un gobierno que por anos mantuvo en el olvido a l@s mas necesitados, en #UnAnoHistorico comenzamos a transformar #QuintanaRoo de la mano del pueblo. Construimos, a traves de un #NuevoAcuerdo, una nueva forma de gobernar, cercana, austera, eficiente y empatica que prioriza en la justicia social, en cuidar y empoderar a las mujeres y construir la paz, recomponiendo el tejido social.#PrimerInformeMaraLezama",2023-09-12T13:39:05.475992,12-09-2023,01:39 PM, NORMAL
maralezamaoficial,https://www.facebook.com/MaraLezamaOficial/posts/pfbid0iVaitt1PhYGFUU57NnjcyhuoXNoBCFL1hkfHHoS7nXzvr58zmoW5xNaCAbkiTUuMl?__cft__[0]=AZUQEpIUYNCeYaEd8-mgAStB_xTY-9JeOguvKllG6HTaTovp3SDCUFgi4-i2hMxrxPaO0Q9fUuQSWLCPa98X7tIKAF_72egUT-7pcH-Zblx6qROb9Y7x6CyfHRCbs3AvMGDjmUUvf6w15YsOISyG7PDLxV2DfEgkcP5eTBiD4eN5YCsqkc4ds05a-F7F0lBfTfdVBTIwHMEY0AdcoBzmclou&__tn__=%2CO%2CP-R,34,103,9,"Quintanarroenses, esta temporada invernal es importante acudir a aplicarnos las vacunas contra la influenza y covid-19. Aqui les comparto la importancia de aplicarse cada una de estas dosis, para protegernos contra las enfermedades respiratorias. Acudan a su unidad de salud mas cercana y pregunten por el esquema de vacunacion. #UnidosParaTransformar Secretaria de Salud Quintana Roo",2023-10-31T06:00:00.785082,31-10-2023,06:00 AM,NORMAL
ptomorelosayto,https://www.facebook.com/PtoMorelosAyto/posts/731605609013717?__cft__[0]=AZXdG65NilUc2baFsxGkxA_pwql9GVUI6IZwfMaYZ68UdvGRMPJvcpOC4rFMk9B2JsAE5vepsdgjrJ46cK4EY2RQb6HpXralQFmjUJgbe_6rDwVlzMSEEaQIknAanS-ew1AuUF23CVJRdQ2Ntm5w7XLNBFsLbGFT0bIpozRb8e6BPTFqkT4WhWNdPoJk7UzrvOheq0FVOzLRJF6dfI4lg9Nj&__tn__=%2CO%2CP-R,0,1,2,"El #DiaDeMuertos es una celebracion ancestral que honra a los seres queridos fallecidos, a traves de los altares se cree que se tiende un puente de comunicacion entre ellos y los vivos.",2023-10-31T06:01:10.851166,31-10-2023,06:01 AM,NORMAL
maralezamaoficial,https://www.facebook.com/MaraLezamaOficial/posts/pfbid0iVaitt1PhYGFUU57NnjcyhuoXNoBCFL1hkfHHoS7nXzvr58zmoW5xNaCAbkiTUuMl?__cft__[0]=AZWgXdC0lC1GRmlfBaXxiq0GHvzqv7GJEMzr5IEZARRiXzYEVcjCfYTtqYEvTE_g_-T3JoDiBkSUANoUhLcujHeYe-2kKnWBm9alKKH8pXazrb_fvhn4sA4HgWRoOopR5l53Ibwx3LuKVzJ7wG2MX-mzX7tbom8V21EMlEkkSj5xD59LDq56RIMkU4y3ABRE5DlHSBoNBPcNbkl8wgV_sVzi&__tn__=%2CO%2CP-R,36,113,10,"Quintanarroenses, esta temporada invernal es importante acudir a aplicarnos las vacunas contra la influenza y covid-19. Aqui les comparto la importancia de aplicarse cada una de estas dosis, para protegernos contra las enfermedades respiratorias. Acudan a su unidad de salud mas cercana y pregunten por el esquema de vacunacion. #UnidosParaTransformar Secretaria de Salud Quintana Roo",2023-10-31T05:59:20.017344,31-10-2023,05:59 AM,NORMAL
ptomorelosayto,https://www.facebook.com/PtoMorelosAyto/posts/pfbid0Y8VMwPwqxBM2L6GmXDkt5tns7qNQNF997DMyWF91yuB55cW2xcSFtsRGhk9HTvebl?__cft__[0]=AZX8V771wMMA2Cvb2Z2U0Ji5NY-Jw6kmge6X17Ip7fjlpZQJpBZXwwxijLa5rrx_lTus2KdA9uyzhaUchhR992BOjd4srG24cxQhnv4mRUbCPJ7BPcbYztdRvONKK4XtIUtyc71AI2qUp9O9lTx6xm1BJuPPBmzTybkso5TEgNLef5sAdLcxmbsNtcGi5CDZQpDhJL4-wlZ8mrh1KqjCctqf&__tn__=%2CO%2CP-R,0,2,3,"El #DiaDeMuertos es una celebracion ancestral que honra a los seres queridos fallecidos, a traves de los altares se cree que se tiende un puente de comunicacion entre ellos y los vivos.",2023-10-31T06:02:06.432667,31-10-2023,06:02 AM,NORMAL
lululatife,https://www.facebook.com/LuluLatife/posts/817803963683857:1045446939930051?__cft__[0]=AZW-9SMVY8DIOUXcB6ElpByXx9MmhyRuGQSx-y5Q7hdqzob3_P7Qsk20ZLknnCQphjBQ8rL6PuWbv8sbyBeP8bOy90A1wl5oRW-H7G0dNro0SyOtSsLNLK69Yl3_RFgdQ6kr2Ox3UYgQDAGITJEWHEgfMKsjWTHb0i1pv4wI3kMSahoTfk00Xz4l9f5SBMNbXCldFB2cJD-pu9DrCOhxcjXoqzbHHRYGD4CJuBgxi7F83A&__tn__=%2CO%2CP-R,0,7,0,,2023-10-31T00:31:10.595698,31-10-2023,12:31 AM,NORMAL
ricardovelazco2022,https://www.facebook.com/RicardoVelazco2022/posts/pfbid02L2vVLEdUg59EaDJb5AzYR146ypb7z2erYqsmqcVCqmhTErH1cZo6evSGfwGsmd19l?__cft__[0]=AZUsrUsDTuXDJdinM4TUldX1LWRc9pyIdBT21fu0ULtnGuxSl9_M2tLxl0oaeGgOhEcqoCYIybOc9zFq6C9iy1d4O2LrIhlSV74iJ7UzDQ7YFqoFYAwaxG8Vc5O64A9-792tYMsvVU9mCzD40VMqBABLdCNp9aNiyu86vGMKy1_nhy1cUjUJGTITYzQYn8oPVz8VCXv-QoFg1F0SK6lz6R9H&__tn__=%2CO%2CP-R,0,2,0,"Presente en la Reunion de la Comisiones Unidas de Deporte y para la Igualdad de Genero, con motivo del estudio, analisis, discusion y dictaminacion de la Iniciativa de decreto por el que se adicionan y reforman diversas disposiciones de la Ley Estatal de Cultura Fisica y Deporte; la Ley para la Igualdad entre Mujeres y Hombres del Estado de Quintana Roo y la Ley de la Juventud del Estado Libre y Soberano de #QuintanaRoo. #UnidosParaTransformar #trabajandoconelcorazon",2023-10-31T06:10:14.766659,31-10-2023,06:10 AM,NORMAL
soyanapaty,https://www.facebook.com/soyanapaty/posts/pfbid02J6SFcFcWcYp9YiHjVoAeDS6dWQmU1jC4KhRq9gtE3dTXskjPQwsoyd1gzqc5Pt19l?__cft__[0]=AZX5Yzg82NqrEKyNNOtmT8jSqT3_JrtMBZWnqO0hLNNNGDXUtcY7BQLPXGBwHr2Dec8A_jCX0jC4aEjsBoeempBdbRDhhgXLyYDsU5vU6_e4JlxjwDiwVWfeYcwFF13J-18nyVPtz5uvXW-4Cm-l0mT2od2vDQ-ZFEjvCjqNtlgum6AMl7rEQKJ8Nfp5NaXQ1B-7S8acFaBxjl29FjTV1za5&__tn__=%2CO%2CP-R,0,27,3,Son mujeres y hombres cancunenses que llevan entre 5 y 35 anos de servicio en el Colegio de Bachilleres Quintana Roo quien junto con nuestra gobernadora Mara Lezama les reconocimos sus anos de compromiso en favor de la transformacion de nuestra juventud.Cuenten conmigo para lograr impulsar nuestra juventud y el futuro de nuestra ciudad porque #CancunNosUne,2023-10-30T22:31:16.305156,30-10-2023,10:31 PM,NORMAL
hugoaldayn,https://www.facebook.com/HugoAldayN/posts/pfbid02BCcpbXAhh2zpDdvTZDyKKXzyBsKr68REon2R9kpZoMjc1X1NwWQY4u63xEV5qDvBl?__cft__[0]=AZWgkGeATjfydj3H9H3lTAgmQZ7dtEvQCTwr2pkS45Y69LtvE3YrLCnWpMq5nq56Gjrzk-qMLADiN2Xhu-KmaIQJb8x2s2kg1tVoMzDaco8OJwH4niHPKwylVlcCMHy-k7-fZN0J5i71h0AWpj1qfzPbOxBmHFVVTfjtfuYhkWsNfUYXA28HoLTL4c3nFgvGcH5C9Jj7J7TeNKcAJkQWy50Z&__tn__=%2CO%2CP-R,0,1,1,Ya fueron a ver la decoracion de Dia de Muertos en el Ayuntamiento de Cancun?Vale la pena ir. #DiaDeMuertos,2023-10-31T05:49:21.488304,31-10-2023,05:49 AM,NORMAL
lupitamurguiag,https://www.facebook.com/LupitaMurguiaG/posts/pfbid07tdP6TF53rWBW89Ab9e6nrZEnGMRsMrED27N9ztJLTU7JcMsweMMST1rjYjof4NKl?__cft__[0]=AZVOgQKDGLemJEfy4noEa-W8GOW4BgEQd7UsgzS69IGQqQekE6sIIW2jyLFictEtdbpU8I8ihPDd8yzqHITOgkzqwIy5TKN5VaB5iyK7V3LLXYzjnx6uLEfna7SmQtIxBReyajnjzdlhX17FWBMOaU4WI9WUFAk5YNVv3Zx3v0NAq3ldYdNA_vhDs63g89_ewi6j0BE0DlYVCrhmtup-k_Nt&__tn__=%2CO%2CP-R,5,40,5,"Con motivo del tradicional #DiaDeMuertos, se llevo a cabo un Concierto organizado por la Coordinacion de Delegados del Municipio de #Queretaro. Un reconocimiento a los policias caidos en cumplimiento de su deber.",2023-10-30T22:31:23.033172,30-10-2023,10:31 PM,NORMAL
